case,mode,policy,runs,speedup_vs_ordinary,speedup_vs_default,vs_default_ci_low,vs_default_ci_high,runs_slower_than_ordinary,runs_slower_than_default,worst_vs_ordinary,worst_vs_default
fresh_seeds-heldout-structured-2048,resident_seed_batch,fixed_4,40,1.1488905040133532,0.816701460113319,0.7974314089668199,0.836582906407438,0,39,1.0501864675572323,0.7132954320037148
fresh_seeds-heldout-structured-2048,resident_seed_batch,fixed_5,40,1.1352570352300402,0.8070099587710712,0.7893841923522035,0.825396381707193,0,40,1.017779715131942,0.6938235889286981
fresh_seeds-heldout-structured-2048,resident_seed_batch,h1,40,1.2263175229782037,0.8717413087498258,0.8462715553615799,0.8980865519591223,0,36,1.0136809542618257,0.6703841404667158
fresh_seeds-heldout-structured-2048,resident_seed_batch,h2,40,1.2498505553180077,0.8884700238063727,0.8613918216999069,0.9160375726360208,0,34,1.067950410787262,0.6970839103785503
fresh_seeds-heldout-structured-2048,resident_seed_batch,ordinary,40,1.0,0.7108610065627513,0.6968259909133461,0.7256695632998553,0,40,1.0,0.6527305981039703
fresh_seeds-heldout-structured-2048,separate_seed,default,40,1.2146138549967869,1.0,1.0,1.0,0,0,1.0751168093114536,1.0
fresh_seeds-heldout-structured-2048,separate_seed,existing_cost_gate,40,1.2304822914813054,1.0130645936724971,1.0080396513051009,1.017828927755114,0,7,1.123289399354487,0.9682529120973529
fresh_seeds-heldout-structured-2048,separate_seed,fixed_1,40,0.8217695300693398,0.6765685461998239,0.6689614767549615,0.6846584024126126,40,40,0.8155209131627592,0.6214195908465834
fresh_seeds-heldout-structured-2048,separate_seed,fixed_2,40,0.9978541707654957,0.8215402505581788,0.8131649097544454,0.8304549027648507,23,40,0.9757958236337713,0.7766611464789857
fresh_seeds-heldout-structured-2048,separate_seed,fixed_3,40,1.0963551728101302,0.9026368078215528,0.8939445485958303,0.9118926824864384,0,40,1.05879576212349,0.8531816524833457
fresh_seeds-heldout-structured-2048,separate_seed,fixed_4,40,1.15479371953041,0.9507496681185684,0.9398215826620274,0.9621417760166864,0,37,1.1029451452963517,0.8937823289831031
fresh_seeds-heldout-structured-2048,separate_seed,fixed_5,40,1.1949759317087916,0.9838319617323587,0.9785230022669905,0.9893912619369412,0,34,1.1140966698603338,0.9515643192409301
