stress,mode,policy,runs,geometric_speedup_vs_ordinary,min_speedup,max_speedup
context_boundary,resident_seed_batch,fixed_5,240,1.03208695511928,0.5762205683848601,1.6527550323204405
context_boundary,resident_seed_batch,h1,240,1.2022651698298763,0.9401649903374024,1.5211050852154389
context_boundary,resident_seed_batch,h2,240,1.2255595991907995,0.9458689620307834,1.697509009486735
context_boundary,resident_seed_batch,ordinary,240,1.0,1.0,1.0
context_boundary,separate_seed,default,240,1.071098380695739,0.7630254576719665,1.3633438573443202
context_boundary,separate_seed,existing_cost_gate,240,1.0783643481431255,0.7839657014332327,1.3444027413975372
context_boundary,separate_seed,fixed_1,240,0.832506817505845,0.7678581091533713,0.8912228493172264
context_boundary,separate_seed,fixed_2,240,0.9606416100357434,0.782261029079655,1.096298619186525
context_boundary,separate_seed,fixed_3,240,1.0201692313693698,0.7707898573076097,1.2394188240715087
context_boundary,separate_seed,fixed_4,240,1.0391064132062364,0.7420823182820021,1.350197460123802
context_boundary,separate_seed,fixed_5,240,1.0389680420193996,0.7088956629126656,1.3554168631074426
context_boundary,separate_seed,h1,240,1.089959716198923,0.9542283824517579,1.3013991957795763
context_boundary,separate_seed,h2,240,1.1089132187274013,0.966921811951459,1.3681124383152796
context_boundary,separate_seed,ordinary,240,1.0,1.0,1.0
noisy,resident_seed_batch,default,240,1.2130803278539093,0.8328533733245115,1.7394890493333428
noisy,resident_seed_batch,existing_cost_gate,240,1.176086397572027,0.7821161454396386,1.6365543198330932
noisy,resident_seed_batch,fixed_1,240,0.8313688571411938,0.7386499792956764,0.9432940819644821
noisy,resident_seed_batch,fixed_2,240,0.9572505517308324,0.7590465468785177,1.1425639873049278
noisy,resident_seed_batch,fixed_3,240,1.0884890219751668,0.6046742722826415,1.7652992574011515
noisy,resident_seed_batch,fixed_4,240,1.065854423479628,0.5646891976485113,1.710367624507847
noisy,resident_seed_batch,fixed_5,240,1.027124221368221,0.5185197721477574,1.6684585598181991
noisy,resident_seed_batch,h1,240,1.166028595893198,0.7569734535650339,1.5796843169408605
noisy,resident_seed_batch,h2,240,1.179783924143611,0.9132193956461565,1.6508441550928548
noisy,resident_seed_batch,ordinary,240,1.0,1.0,1.0
noisy,separate_seed,default,240,1.0722869456232207,0.7321045781618062,1.391603957087615
noisy,separate_seed,existing_cost_gate,240,1.0829822056795306,0.7640698765485084,1.3693101409767017
noisy,separate_seed,fixed_1,240,0.8313688571411938,0.7386499792956764,0.9432940819644821
noisy,separate_seed,fixed_2,240,0.9572505517308324,0.7590465468785177,1.1425639873049278
noisy,separate_seed,fixed_3,240,1.0181675440043307,0.7432579167398349,1.2718520948884526
noisy,separate_seed,fixed_4,240,1.0400689410231128,0.7146921285080848,1.3681545272086888
noisy,separate_seed,fixed_5,240,1.0400709031983992,0.6823978416628432,1.3879759443875963
noisy,separate_seed,h1,240,1.0812719850027734,0.747885047855985,1.3042645882073705
noisy,separate_seed,h2,240,1.093815471807419,0.8444134597090014,1.3645727655636382
noisy,separate_seed,ordinary,240,1.0,1.0,1.0
stable_easy,resident_seed_batch,default,240,2.105419659081278,1.36905700453935,2.8272196588224916
stable_easy,resident_seed_batch,existing_cost_gate,240,2.0997539494891613,1.4139016950011674,2.8272196588224916
stable_easy,resident_seed_batch,fixed_1,240,0.8314487226088639,0.7250355693945683,0.9249707970555754
stable_easy,resident_seed_batch,fixed_2,240,1.1189851488651605,0.9496673567421402,1.2830168711158891
stable_easy,resident_seed_batch,fixed_3,240,1.8926704629835989,1.4109575684323181,2.504695581512479
stable_easy,resident_seed_batch,fixed_4,240,2.098566619699728,1.4818976876282737,2.7118913722211655
stable_easy,resident_seed_batch,fixed_5,240,2.2574044130914266,1.5953215285222202,2.9891985389816607
stable_easy,resident_seed_batch,h1,240,1.9517868383879224,1.3500053515731023,2.579554289735431
stable_easy,resident_seed_batch,h2,240,2.047858184719335,1.444711316907194,2.7682154442576157
stable_easy,resident_seed_batch,ordinary,240,1.0,1.0,1.0
stable_easy,separate_seed,default,240,1.6483804480574504,1.3087747196270423,1.9891247025664807
stable_easy,separate_seed,existing_cost_gate,240,1.6466852493508388,1.292599252447134,1.9891247025664807
stable_easy,separate_seed,fixed_1,240,0.8314487226088639,0.7250355693945683,0.9249707970555754
stable_easy,separate_seed,fixed_2,240,1.1189851488651605,0.9496673567421402,1.2830168711158891
stable_easy,separate_seed,fixed_3,240,1.3558217099452805,1.1199972208567692,1.613757610792577
stable_easy,separate_seed,fixed_4,240,1.5432615159218506,1.2495694062167637,1.8286789482052734
stable_easy,separate_seed,fixed_5,240,1.6983625244328513,1.3481310637215302,2.0542227945354075
stable_easy,separate_seed,h1,240,1.5277899680011744,1.1206188203228489,1.8725690455466466
stable_easy,separate_seed,h2,240,1.5852818041241359,1.1835785323842452,1.943511030787348
stable_easy,separate_seed,ordinary,240,1.0,1.0,1.0
stable_hard,resident_seed_batch,default,240,0.8786409129236221,0.8179629535709245,0.9284545430094382
stable_hard,resident_seed_batch,existing_cost_gate,240,0.8475923731393048,0.7424676066567762,0.9033514703176335
stable_hard,resident_seed_batch,fixed_1,240,0.8233371999220108,0.7662556857811278,0.8651972878776485
stable_hard,resident_seed_batch,fixed_2,240,0.7895284471161349,0.7210670882830027,0.8455535479915406
stable_hard,resident_seed_batch,fixed_3,240,0.555233429538633,0.43106167836745113,0.6889450920212187
stable_hard,resident_seed_batch,fixed_4,240,0.5107806488258546,0.39440982345391873,0.6343404194129211
stable_hard,resident_seed_batch,fixed_5,240,0.47305242523875285,0.36361532785803685,0.5879690611814143
stable_hard,resident_seed_batch,h1,240,0.9688429246399421,0.9501458566839092,0.9856926840455725
stable_hard,resident_seed_batch,h2,240,0.9636704648601793,0.9391608967048554,0.9839219937549982
stable_hard,resident_seed_batch,ordinary,240,1.0,1.0,1.0
stable_hard,separate_seed,default,240,0.7921038600193351,0.7329082239724178,0.8353537568082668
stable_hard,separate_seed,existing_cost_gate,240,0.8069355738233309,0.7443986954487388,0.8459537556262379
stable_hard,separate_seed,fixed_1,240,0.8233371999220108,0.7662556857811278,0.8651972878776485
